date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:04:52	845/845	---M--	200	added ('OK')	text/plain	etag:%2234d-5120ce8d90ec0%22	https://mallicklab.stanford.edu/robots.txt		(from )
13:04:54	31652/31652	---MCZ	200	added ('OK')	text/html	date:Thu,%2004%20Jun%202026%2019:04:58%20GMT	https://mallicklab.stanford.edu/	flattened/mallick/mallicklab.stanford.edu/index.html	(from )
13:04:54	857/857	---M--	200	added ('OK')	image/vnd.microsoft.icon	etag:%22359-4d945815a6b40%22	https://mallicklab.stanford.edu/favicon.ico	flattened/mallick/mallicklab.stanford.edu/favicon.ico	(from https://mallicklab.stanford.edu/)
13:04:55	3013/3013	---M--	200	added ('OK')	text/css	etag:%22bc5-5861c801ace80%22	https://mallicklab.stanford.edu/media/system/css/modal.css?812fcc30e103faf7dfd952dbf8702b35	flattened/mallick/mallicklab.stanford.edu/media/system/css/modal43ef.css	(from https://mallicklab.stanford.edu/)
13:04:57	104388/104388	---M--	200	added ('OK')	text/css	etag:%22197c4-511feb7e29b00%22	https://mallicklab.stanford.edu/templates/jm-exclusive-furniture/css/bootstrap.css	flattened/mallick/mallicklab.stanford.edu/templates/jm-exclusive-furniture/css/bootstrap.css	(from https://mallicklab.stanford.edu/)
13:04:57	14121/14121	---M--	200	added ('OK')	text/css	etag:%223729-511feb7f1dd40%22	https://mallicklab.stanford.edu/templates/jm-exclusive-furniture/css/bootstrap_responsive.css	flattened/mallick/mallicklab.stanford.edu/templates/jm-exclusive-furniture/css/bootstrap_responsive.css	(from https://mallicklab.stanford.edu/)
13:04:58	870/870	---MCZ	200	added ('OK')	application/atom+xml	date:Thu,%2004%20Jun%202026%2019:05:01%20GMT	https://mallicklab.stanford.edu/?format=feed&type=atom	flattened/mallick/mallicklab.stanford.edu/index7b17.html	(from https://mallicklab.stanford.edu/)
13:04:58	836/836	---MCZ	200	added ('OK')	application/rss+xml	date:Thu,%2004%20Jun%202026%2019:05:01%20GMT	https://mallicklab.stanford.edu/?format=feed&type=rss	flattened/mallick/mallicklab.stanford.edu/indexc0d0.html	(from https://mallicklab.stanford.edu/)
13:04:58	21938/21938	---M--	200	added ('OK')	text/css	etag:%2255b2-511feb7f1dd40%22	https://mallicklab.stanford.edu/templates/jm-exclusive-furniture/css/extensions.css	flattened/mallick/mallicklab.stanford.edu/templates/jm-exclusive-furniture/css/extensions.css	(from https://mallicklab.stanford.edu/)
13:04:59	39055/39055	---M--	200	added ('OK')	text/css	etag:%22988f-511feb7f1dd40%22	https://mallicklab.stanford.edu/templates/jm-exclusive-furniture/css/template.css	flattened/mallick/mallicklab.stanford.edu/templates/jm-exclusive-furniture/css/template.css	(from https://mallicklab.stanford.edu/)
